연번,지방청,경찰서,관서명,지역파출소,치안센터명,주소,lon,lat,geometry
52,서울청,서울동작,상도,지구대,상도1치안센터,서울 동작구 상도로 62길 1,126.954548921,37.494706745,POINT (126.954548921 37.494706745)
53,서울청,서울동작,남성,지구대,사당3치안센터,서울 동작구 동작대로43길6,126.9819984,37.496812,POINT (126.9819984 37.496812)
54,서울청,서울동작,사당,지구대,사당4치안센터,서울 동작구 사당로 16아길 6,126.971619510,37.480975810,POINT (126.97161951 37.48097581)
55,서울청,서울동작,사당,지구대,사당5치안센터,서울 동작구 사당로 138,126.965703014,37.488956067,POINT (126.965703014 37.488956067)
56,서울청,서울동작,신대방,지구대,신대방2치안센터,서울 동작구 여의대방로 24길 106,126.9254854,37.4988699,POINT (126.9254854 37.4988699)
57,서울청,서울동작,대방,파출소,상도3치안센터,서울 동작구 상도로 87,126.930370025,37.499901705,POINT (126.930370025 37.499901705)
58,서울청,서울광진,자양,파출소,자양2치안센터,서울 광진구 자양로3가길 28,127.084733923,37.528826803,POINT (127.084733923 37.528826803)
59,서울청,서울광진,광나루,지구대,구의3치안센터,서울 광진구 광나루로56길 4,127.097894242,37.539192136,POINT (127.097894242 37.539192136)
60,서울청,서울서부,신사,지구대,신사1치안센터,서울 은평구 은평로 28,126.910982897,37.597901134,POINT (126.910982897 37.597901134)
61,서울청,서울서부,신사,지구대,증산치안센터,서울 은평구 증산서길 82,126.906830663,37.583586683,POINT (126.906830663 37.583586683)
62,서울청,서울서부,신사,지구대,수색치안센터,서울 은평구 수색로 261,126.894962925,37.581981193,POINT (126.894962925 37.581981193)
63,서울청,서울서부,응암3,파출소,응암4치안센터,서울 은평구 가좌로7라길 1,126.917339602,37.585942118,POINT (126.917339602 37.585942118)
64,서울청,서울강북,미아,지구대,동화치안센터,서울 강북구 솔매로49길 14,127.026942382,37.627095853,POINT (127.026942382 37.627095853)
65,서울청,서울강북,미아,지구대,미아3치안센터,서울 강북구 삼양로54길 51,127.021022991,37.623599340,POINT (127.021022991 37.62359934)
66,서울청,서울강북,솔샘,지구대,숭인치안센터,서울 강북구 도봉로39길,127.025892738,37.622690955,POINT (127.025892738 37.622690955)
67,서울청,서울강북,수유2,파출소,우이치안센터,서울 강북구 삼양로678(현 컨테이너),127.0127171,37.6631326,POINT (127.0127171 37.6631326)
68,서울청,서울강북,인수,파출소,수유6치안센터,서울 강북구 삼양로 119길 45,127.0152805,37.6443303,POINT (127.0152805 37.6443303)
69,서울청,서울금천,문성,지구대,독산3치안센터,서울 금천구 문성로 38,126.907871992,37.476555959,POINT (126.907871992 37.476555959)
70,서울청,서울금천,문성,지구대,독산본치안센터,서울 금천구 시흥대로 148길 21-5,126.899934324,37.475316104,POINT (126.899934324 37.475316104)
71,서울청,서울금천,백산,지구대,시흥4치안센터,서울 금천구 독산로50길 105,126.910186360,37.462304328,POINT (126.91018636 37.462304328)
72,서울청,서울금천,백산,지구대,시흥5치안센터,서울 금천구 금하로24다길 7,126.909444713,37.448586351,POINT (126.909444713 37.448586351)
