,자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시,geometry,outlier
10691,서초구,서울특별시 서초구 서초동 서초대로 294 교대역,방범,37.49384722,127.0144727,1,2021-01-19,POINT (127.0144727 37.49384722),1
10692,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49390002,127.012186,1,2021-01-19,POINT (127.012186 37.49390002),1
10693,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49390741,127.0121674,1,2021-01-19,POINT (127.0121674 37.49390741),1
10694,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49391278,127.0121792,1,2021-01-19,POINT (127.0121792 37.49391278),1
10695,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49392286,127.0121711,1,2021-01-19,POINT (127.0121711 37.49392286),1
10696,서초구,서울특별시 서초구 서초동 서초대로64길 41 ,방범,37.49394633,127.0217553,1,2021-01-19,POINT (127.0217553 37.49394633),1
10697,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49395013,126.9844733,1,2021-01-19,POINT (126.9844733 37.49395013),1
10698,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49395907,126.9844723,1,2021-01-19,POINT (126.9844723 37.49395907),1
10699,서초구,서울특별시 서초구 방배동 동광로 110 현대힐스빌라,방범,37.49395908,126.9949729,1,2021-01-19,POINT (126.9949729 37.49395908),1
10700,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49395931,126.9844598,2,2021-01-19,POINT (126.9844598 37.49395931),1
10701,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49395931,126.9844851,1,2021-01-19,POINT (126.9844851 37.49395931),1
10702,서초구,서울특별시 서초구 방배동 동광로 110 현대힐스빌라,방범,37.49396691,126.9949991,1,2021-01-19,POINT (126.9949991 37.49396691),1
10703,서초구,서울특별시 서초구 방배동 동광로 116 포렛힐,방범,37.49396893,126.9950244,1,2021-01-19,POINT (126.9950244 37.49396893),1
10704,서초구,서울특별시 서초구 방배동 동광로 110 현대힐스빌라,방범,37.49397027,126.9949676,1,2021-01-19,POINT (126.9949676 37.49397027),1
10705,서초구,서울특별시 서초구 방배동 동작대로 186 ,방범,37.49397188,126.9837989,1,2021-01-19,POINT (126.9837989 37.49397188),1
10706,서초구,서울특별시 서초구 방배동 동작대로 186 ,방범,37.49398307,126.9837977,1,2021-01-19,POINT (126.9837977 37.49398307),1
10707,서초구,서울특별시 서초구 방배동 방배중앙로 168 ,방범,37.49404724,126.986229,1,2021-01-19,POINT (126.986229 37.49404724),1
10708,서초구,서울특별시 서초구 방배동 방배중앙로 168 ,방범,37.49405777,126.9862276,1,2021-01-19,POINT (126.9862276 37.49405777),1
10709,서초구,서울특별시 서초구 방배동 방배중앙로 168 ,방범,37.4940665,126.9862242,1,2021-01-19,POINT (126.9862242 37.4940665),1
10710,서초구,서울특별시 서초구 서초동 서초대로 325 영문빌딩,방범,37.49408544,127.0170106,1,2021-01-19,POINT (127.0170106 37.49408544),1
10711,서초구,서울특별시 서초구 서초동 서초대로 316 하림인터내셔날오피스텔,방범,37.4940935,127.0169901,1,2021-01-19,POINT (127.0169901 37.4940935),1
10712,서초구,서울특별시 서초구 서초동 서초대로 325 영문빌딩,방범,37.49411074,127.017003,1,2021-01-19,POINT (127.017003 37.49411074),1
10713,서초구,서울특별시 서초구 반포동 동광로 164 줄라이빌딩,방범,37.49415853,127.0006216,1,2021-01-19,POINT (127.0006216 37.49415853),1
10714,서초구,서울특별시 서초구 반포동 동광로 164 줄라이빌딩,방범,37.49416109,127.0006046,1,2021-01-19,POINT (127.0006046 37.49416109),1
10715,서초구,서울특별시 서초구 방배동 방배중앙로 168 ,방범,37.49416235,126.9868751,1,2021-01-19,POINT (126.9868751 37.49416235),1
